Country,Year,Total fat supply,Total protein supply,Sugar supply
Australia,1995,125.4,107.8,131.8
Australia,1996,124.9,105.7,123.8
Australia,1997,127.1,104.0,134.2
Australia,1998,124.8,101.3,131.8
Australia,1999,130.5,101.3,120.3
Australia,2000,130.0,101.3,123.3
Australia,2001,134.3,100.8,124.9
Australia,2002,131.2,104.8,125.2
Australia,2003,131.0,109.6,128.5
Australia,2004,134.0,101.5,128.2
Australia,2005,137.3,104.9,128.2
Australia,2006,143.4,104.6,127.1
Australia,2007,143.9,108.3,129.9
Australia,2008,141.0,106.5,128.8
Australia,2009,143.6,103.3,125.8
Australia,2010,151.3,110.9,358.9
Australia,2011,155.2,110.7,354.8
Australia,2012,156.4,110.1,355.1
Australia,2013,152.7,109.4,355.3
Australia,2014,158.2,107.8,120.3
Australia,2015,159.5,108.2,116.4
Australia,2016,160.7,109.0,120.8
Australia,2017,159.0,106.7,118.6
Australia,2018,160.6,107.8,114.2
Australia,2019,160.9,110.9,112.9
Australia,2020,155.7,114.9,112.9
Austria,1995,152.8,100.5,131.5
Austria,1996,155.9,103.2,130.7
Austria,1997,156.7,100.1,127.9
Austria,1998,156.3,104.0,126.6
Austria,1999,157.2,105.5,126.6
Austria,2000,159.0,106.0,127.4
Austria,2001,160.7,106.9,124.7
Austria,2002,154.3,106.1,123.0
Austria,2003,151.3,102.1,126.8
Austria,2004,155.6,100.5,130.1
Austria,2005,152.3,102.7,135.9
Austria,2006,162.3,101.5,133.7
Austria,2007,162.8,103.7,128.5
Austria,2008,161.9,101.8,133.7
Austria,2009,167.8,102.4,128.2
Austria,2010,174.2,106.2,126.6
Austria,2011,173.3,107.3,127.4
Austria,2012,172.8,102.8,126.3
Austria,2013,171.7,105.0,121.9
Austria,2014,162.2,106.5,123.0
Austria,2015,163.7,107.1,128.5
Austria,2016,162.3,109.6,132.9
Austria,2017,165.5,107.4,130.1
Austria,2018,166.0,109.8,124.9
Austria,2019,178.5,109.1,111.0
Austria,2020,183.7,106.1,100.8
Belgium,1995,164.9,99.3,149.5
Belgium,1996,164.9,99.3,149.5
Belgium,1997,164.9,99.3,149.5
Belgium,1998,164.9,99.3,149.5
Belgium,1999,164.9,99.3,149.5
Belgium,2000,161.5,96.6,150.7
Belgium,2001,164.9,100.8,149.3
Belgium,2002,165.8,100.6,148.2
Belgium,2003,162.1,99.5,149.6
Belgium,2004,160.8,99.3,146.6
Belgium,2005,163.3,99.3,145.8
Belgium,2006,163.6,100.1,139.7
Belgium,2007,165.2,101.2,138.1
Belgium,2008,162.4,98.4,144.1
Belgium,2009,159.4,96.1,149.0
Belgium,2010,161.3,96.9,148.8
Belgium,2011,167.7,96.6,133.2
Belgium,2012,161.6,99.0,148.2
Belgium,2013,162.3,99.6,142.2
Belgium,2014,161.7,98.5,146.0
Belgium,2015,166.6,98.9,168.5
Belgium,2016,165.2,99.8,161.1
Belgium,2017,166.9,98.5,161.9
Belgium,2018,163.4,98.1,171.5
Belgium,2019,177.0,103.1,157.8
Belgium,2020,179.7,104.8,140.0
Canada,1995,135.5,98.0,130.4
Canada,1996,136.4,98.7,135.9
Canada,1997,142.3,100.5,141.1
Canada,1998,148.3,103.3,142.5
Canada,1999,146.9,107.1,134.2
Canada,2000,147.5,106.1,138.6
Canada,2001,145.5,105.1,144.9
Canada,2002,142.3,105.3,152.6
Canada,2003,148.1,104.0,153.2
Canada,2004,147.4,104.8,148.8
Canada,2005,144.3,102.1,147.4
Canada,2006,143.2,103.5,144.7
Canada,2007,144.9,104.4,146.0
Canada,2008,145.8,104.7,140.5
Canada,2009,145.3,103.1,135.6
Canada,2010,144.8,102.1,255.9
Canada,2011,150.2,101.5,255.3
Canada,2012,141.7,103.5,255.1
Canada,2013,142.7,102.2,255.1
Canada,2014,157.1,98.7,256.2
Canada,2015,158.5,97.6,255.1
Canada,2016,157.5,102.4,247.7
Canada,2017,157.5,104.7,231.0
Canada,2018,159.2,108.0,154.8
Canada,2019,158.3,107.1,138.4
Canada,2020,161.7,106.7,136.4
Chile,1995,77.9,77.5,121.9
Chile,1996,79.1,78.0,124.1
Chile,1997,78.7,78.2,126.3
Chile,1998,80.1,77.7,127.9
Chile,1999,79.5,76.9,130.7
Chile,2000,83.1,78.6,125.5
Chile,2001,84.0,79.6,121.6
Chile,2002,84.6,81.1,124.1
Chile,2003,85.7,83.7,116.7
Chile,2004,84.5,84.8,119.5
Chile,2005,80.9,85.9,119.5
Chile,2006,86.7,87.7,119.2
Chile,2007,88.2,85.6,129.3
Chile,2008,86.5,85.5,130.4
Chile,2009,83.8,82.1,130.4
Chile,2010,80.3,85.0,147.4
Chile,2011,82.3,86.2,147.7
Chile,2012,84.8,85.0,147.1
Chile,2013,88.3,88.0,147.1
Chile,2014,91.1,86.7,132.3
Chile,2015,90.7,87.1,133.2
Chile,2016,90.5,90.0,131.5
Chile,2017,90.6,91.0,129.0
Chile,2018,91.1,93.5,125.8
Chile,2019,95.8,93.2,112.9
Chile,2020,100.5,92.5,123.0
Colombia,1995,67.3,63.7,178.1
Colombia,1996,68.8,64.9,170.1
Colombia,1997,68.4,64.6,172.3
Colombia,1998,68.8,63.8,173.2
Colombia,1999,68.8,62.4,178.6
Colombia,2000,73.2,63.4,172.1
Colombia,2001,73.0,63.7,175.3
Colombia,2002,73.2,63.4,171.8
Colombia,2003,72.7,63.1,173.2
Colombia,2004,71.8,61.8,174.0
Colombia,2005,73.6,62.2,169.0
Colombia,2006,75.6,63.8,166.6
Colombia,2007,75.9,64.1,167.4
Colombia,2008,77.2,64.8,166.8
Colombia,2009,74.3,61.5,163.8
Colombia,2010,77.9,61.2,160.8
Colombia,2011,77.8,62.2,162.2
Colombia,2012,81.1,64.4,163.6
Colombia,2013,81.2,65.1,168.8
Colombia,2014,84.5,68.0,165.2
Colombia,2015,86.2,69.8,162.2
Colombia,2016,85.6,69.2,166.6
Colombia,2017,91.0,70.5,206.8
Colombia,2018,90.4,72.6,202.2
Colombia,2019,88.3,74.1,157.5
Colombia,2020,91.3,72.5,151.8
Costa Rica,1995,78.9,73.0,161.6
Costa Rica,1996,79.1,67.9,159.2
Costa Rica,1997,74.0,70.3,157.0
Costa Rica,1998,73.1,68.9,158.1
Costa Rica,1999,75.2,71.6,158.4
Costa Rica,2000,78.0,74.2,154.5
Costa Rica,2001,76.9,70.5,151.2
Costa Rica,2002,78.6,70.1,151.8
Costa Rica,2003,78.1,70.6,153.4
Costa Rica,2004,82.1,70.3,151.5
Costa Rica,2005,82.3,70.8,156.7
Costa Rica,2006,86.2,73.0,157.5
Costa Rica,2007,87.5,74.5,161.1
Costa Rica,2008,87.7,75.3,154.0
Costa Rica,2009,87.5,76.1,150.4
Costa Rica,2010,87.9,75.6,154.0
Costa Rica,2011,90.0,74.3,152.1
Costa Rica,2012,87.5,74.3,152.1
Costa Rica,2013,90.3,73.8,148.2
Costa Rica,2014,91.4,76.7,147.4
Costa Rica,2015,94.3,75.9,146.0
Costa Rica,2016,97.4,79.4,154.5
Costa Rica,2017,106.1,80.4,142.7
Costa Rica,2018,103.5,81.7,143.8
Costa Rica,2019,103.9,85.0,136.4
Costa Rica,2020,105.6,84.6,138.4
Czech Republic,1995,107.1,93.1,127.1
Czech Republic,1996,111.2,95.6,140.8
Czech Republic,1997,110.4,93.3,129.9
Czech Republic,1998,116.2,96.9,127.9
Czech Republic,1999,114.0,91.4,121.1
Czech Republic,2000,111.5,90.3,121.4
Czech Republic,2001,114.1,92.8,127.4
Czech Republic,2002,115.5,93.0,140.3
Czech Republic,2003,120.4,93.0,150.4
Czech Republic,2004,116.8,96.1,150.4
Czech Republic,2005,128.1,99.3,103.0
Czech Republic,2006,137.7,95.3,87.9
Czech Republic,2007,134.3,95.1,95.1
Czech Republic,2008,137.7,93.8,95.9
Czech Republic,2009,136.2,92.6,106.6
Czech Republic,2010,137.7,92.8,139.2
Czech Republic,2011,133.3,90.8,166.0
Czech Republic,2012,137.0,86.8,178.1
Czech Republic,2013,137.1,87.4,181.4
Czech Republic,2014,128.5,87.4,154.2
Czech Republic,2015,125.0,87.4,132.1
Czech Republic,2016,137.3,88.6,127.9
Czech Republic,2017,140.9,86.9,134.5
Czech Republic,2018,146.0,86.4,119.7
Czech Republic,2019,150.6,87.9,114.2
Czech Republic,2020,152.3,90.6,97.3
Denmark,1995,140.3,108.3,138.1
Denmark,1996,133.7,105.7,132.3
Denmark,1997,128.9,104.3,146.3
Denmark,1998,134.1,107.9,138.6
Denmark,1999,131.7,103.5,135.6
Denmark,2000,134.0,99.9,147.1
Denmark,2001,135.5,107.6,142.5
Denmark,2002,130.6,107.3,157.8
Denmark,2003,130.1,103.4,158.1
Denmark,2004,133.4,105.6,158.6
Denmark,2005,137.5,115.6,139.2
Denmark,2006,130.9,112.9,147.9
Denmark,2007,130.4,110.6,171.8
Denmark,2008,127.2,109.3,146.6
Denmark,2009,131.3,103.9,143.6
Denmark,2010,126.8,109.5,149.0
Denmark,2011,129.9,104.3,155.6
Denmark,2012,129.1,109.2,152.1
Denmark,2013,131.4,111.1,154.0
Denmark,2014,131.4,108.7,150.1
Denmark,2015,131.4,109.6,150.4
Denmark,2016,133.7,114.3,150.4
Denmark,2017,133.2,115.6,151.5
Denmark,2018,136.9,118.0,153.4
Denmark,2019,145.9,113.9,149.0
Denmark,2020,144.6,110.8,162.2
Estonia,1995,90.3,98.7,67.7
Estonia,1996,91.4,97.6,92.6
Estonia,1997,91.6,90.7,103.3
Estonia,1998,95.0,89.6,101.1
Estonia,1999,102.4,90.2,138.6
Estonia,2000,86.5,89.0,150.1
Estonia,2001,89.2,87.3,151.0
Estonia,2002,99.1,92.4,118.1
Estonia,2003,101.6,90.5,120.3
Estonia,2004,97.8,84.9,144.1
Estonia,2005,91.8,93.0,144.1
Estonia,2006,95.0,93.6,131.0
Estonia,2007,93.5,97.1,130.7
Estonia,2008,93.8,100.7,119.2
Estonia,2009,95.6,98.7,127.4
Estonia,2010,92.0,98.4,201.6
Estonia,2011,88.9,98.6,198.1
Estonia,2012,93.8,96.5,204.4
Estonia,2013,90.6,103.6,183.8
Estonia,2014,106.6,100.2,168.5
Estonia,2015,120.1,102.4,149.3
Estonia,2016,119.4,103.0,131.5
Estonia,2017,119.4,101.2,123.6
Estonia,2018,125.2,104.2,142.5
Estonia,2019,140.3,104.1,152.3
Estonia,2020,133.7,101.4,186.8
Finland,1995,127.9,97.7,109.6
Finland,1996,124.2,99.1,104.1
Finland,1997,130.0,101.6,105.2
Finland,1998,133.7,102.9,100.5
Finland,1999,128.1,101.1,100.5
Finland,2000,122.9,101.2,105.5
Finland,2001,126.5,102.3,95.9
Finland,2002,127.5,102.1,95.3
Finland,2003,126.0,104.3,94.0
Finland,2004,126.1,105.3,95.3
Finland,2005,127.5,106.0,93.2
Finland,2006,129.1,108.1,91.5
Finland,2007,131.7,110.5,94.5
Finland,2008,131.7,111.8,81.9
Finland,2009,131.1,109.9,92.6
Finland,2010,133.3,112.2,109.6
Finland,2011,137.7,113.9,109.0
Finland,2012,141.3,116.0,109.0
Finland,2013,141.4,116.4,109.0
Finland,2014,142.1,118.0,110.1
Finland,2015,140.7,118.2,110.4
Finland,2016,140.8,117.6,110.4
Finland,2017,139.6,118.2,110.7
Finland,2018,140.7,118.5,113.7
Finland,2019,131.5,119.5,133.7
Finland,2020,139.7,117.9,135.9
France,1995,164.4,115.0,102.2
France,1996,162.4,114.8,106.0
France,1997,166.0,115.6,107.1
France,1998,167.9,117.3,110.1
France,1999,168.4,116.9,112.3
France,2000,169.9,117.5,108.8
France,2001,171.4,119.1,111.8
France,2002,171.1,118.9,113.2
France,2003,168.4,116.3,110.7
France,2004,161.8,114.1,112.9
France,2005,162.9,111.3,114.2
France,2006,162.9,111.0,103.8
France,2007,160.4,110.6,102.2
France,2008,167.3,112.6,99.5
France,2009,165.1,111.2,110.7
France,2010,162.7,112.4,104.1
France,2011,160.5,111.0,103.3
France,2012,156.9,110.5,104.1
France,2013,158.4,109.9,107.4
France,2014,149.3,107.1,102.2
France,2015,148.6,108.9,105.8
France,2016,149.6,109.6,106.0
France,2017,149.1,109.4,106.3
France,2018,149.9,108.5,106.3
France,2019,153.4,119.5,93.4
France,2020,152.4,119.9,99.2
Germany,1995,138.2,91.9,121.1
Germany,1996,144.4,94.2,109.9
Germany,1997,143.2,89.6,115.6
Germany,1998,143.6,94.4,111.8
Germany,1999,140.7,93.9,113.2
Germany,2000,142.8,94.5,115.1
Germany,2001,137.1,97.9,125.5
Germany,2002,139.0,99.0,123.8
Germany,2003,139.2,98.0,132.6
Germany,2004,138.6,96.7,135.1
Germany,2005,139.0,97.0,139.5
Germany,2006,140.7,99.2,132.1
Germany,2007,146.0,102.5,126.3
Germany,2008,144.1,101.3,135.6
Germany,2009,142.8,102.6,131.8
Germany,2010,144.1,101.8,136.7
Germany,2011,145.6,103.1,133.7
Germany,2012,144.3,101.8,129.9
Germany,2013,141.8,101.6,132.3
Germany,2014,142.2,104.1,134.2
Germany,2015,143.7,105.1,135.1
Germany,2016,145.1,104.7,130.1
Germany,2017,146.2,104.1,127.4
Germany,2018,151.3,105.5,121.1
Germany,2019,164.5,105.0,119.7
Germany,2020,164.8,105.9,125.5
Greece,1995,145.7,113.3,86.0
Greece,1996,145.4,113.0,83.6
Greece,1997,146.9,113.4,74.2
Greece,1998,147.7,112.1,87.1
Greece,1999,148.0,116.2,88.5
Greece,2000,141.5,120.8,90.4
Greece,2001,142.2,115.3,94.5
Greece,2002,146.9,113.9,94.2
Greece,2003,147.0,117.8,96.2
Greece,2004,148.5,117.3,100.0
Greece,2005,149.2,114.5,93.2
Greece,2006,148.2,113.6,78.4
Greece,2007,149.3,115.1,86.0
Greece,2008,152.5,111.9,85.2
Greece,2009,153.9,113.3,75.6
Greece,2010,152.8,111.8,98.4
Greece,2011,154.3,108.8,86.8
Greece,2012,149.1,107.5,95.6
Greece,2013,147.0,108.0,91.0
Greece,2014,152.2,109.1,80.3
Greece,2015,148.2,106.2,80.0
Greece,2016,147.5,105.1,80.0
Greece,2017,149.0,106.0,92.1
Greece,2018,153.5,109.7,89.9
Greece,2019,161.7,106.3,92.6
Greece,2020,155.7,102.6,104.9
Hungary,1995,125.3,81.4,117.3
Hungary,1996,124.3,78.0,124.9
Hungary,1997,123.2,83.0,125.2
Hungary,1998,126.3,81.9,131.0
Hungary,1999,123.9,83.7,118.9
Hungary,2000,134.5,91.2,104.7
Hungary,2001,129.4,88.8,103.8
Hungary,2002,136.0,89.1,101.9
Hungary,2003,129.2,87.3,103.0
Hungary,2004,133.7,90.6,103.6
Hungary,2005,138.4,90.6,98.6
Hungary,2006,139.1,90.4,101.6
Hungary,2007,139.6,87.3,95.9
Hungary,2008,139.1,86.5,98.4
Hungary,2009,136.7,85.1,94.0
Hungary,2010,136.7,81.5,94.2
Hungary,2011,136.0,81.9,97.5
Hungary,2012,132.7,80.7,97.0
Hungary,2013,137.6,78.8,95.3
Hungary,2014,138.1,83.1,111.0
Hungary,2015,147.8,85.1,114.0
Hungary,2016,149.6,87.1,112.1
Hungary,2017,152.0,88.5,111.2
Hungary,2018,157.6,89.9,110.1
Hungary,2019,148.8,90.7,142.7
Hungary,2020,151.3,87.4,151.5
Iceland,1995,117.3,119.4,166.3
Iceland,1996,114.5,109.4,159.5
Iceland,1997,119.8,114.4,166.3
Iceland,1998,122.7,118.8,160.0
Iceland,1999,128.2,125.2,154.2
Iceland,2000,129.8,123.7,147.1
Iceland,2001,128.0,121.4,141.6
Iceland,2002,137.9,127.8,144.7
Iceland,2003,138.9,129.5,144.1
Iceland,2004,144.6,127.3,137.8
Iceland,2005,144.6,129.3,130.7
Iceland,2006,149.1,134.7,128.8
Iceland,2007,151.3,138.2,127.4
Iceland,2008,149.7,134.2,127.9
Iceland,2009,146.4,134.4,132.6
Iceland,2010,145.2,128.5,246.8
Iceland,2011,147.2,129.6,232.6
Iceland,2012,148.9,129.7,239.7
Iceland,2013,152.4,128.8,246.3
Iceland,2014,158.7,136.4,131.8
Iceland,2015,164.1,140.5,136.4
Iceland,2016,164.1,140.8,144.7
Iceland,2017,168.3,144.8,212.9
Iceland,2018,166.9,145.3,226.0
Iceland,2019,176.1,144.3,220.5
Iceland,2020,175.0,141.7,244.9
Ireland,1995,126.3,106.8,125.8
Ireland,1996,129.8,109.7,110.1
Ireland,1997,140.6,111.6,110.1
Ireland,1998,140.1,114.5,106.3
Ireland,1999,139.4,117.3,110.7
Ireland,2000,139.8,116.3,119.7
Ireland,2001,135.9,120.5,117.8
Ireland,2002,133.9,116.6,91.2
Ireland,2003,133.7,116.9,104.7
Ireland,2004,134.5,117.0,103.0
Ireland,2005,134.1,113.0,104.1
Ireland,2006,125.4,114.2,108.5
Ireland,2007,129.5,111.6,116.2
Ireland,2008,133.2,112.3,119.7
Ireland,2009,130.2,111.6,107.4
Ireland,2010,130.6,111.7,114.0
Ireland,2011,130.3,108.3,257.5
Ireland,2012,130.5,105.7,246.0
Ireland,2013,126.3,110.0,229.9
Ireland,2014,131.5,106.4,249.0
Ireland,2015,136.5,114.3,223.6
Ireland,2016,135.1,111.4,231.0
Ireland,2017,149.0,115.5,215.6
Ireland,2018,148.2,117.2,232.9
Ireland,2019,149.0,115.8,221.9
Ireland,2020,162.6,115.4,239.5
Israel,1995,122.8,115.6,124.1
Israel,1996,126.1,114.4,136.7
Israel,1997,124.5,114.6,140.5
Israel,1998,124.2,114.4,141.6
Israel,1999,122.4,113.8,144.4
Israel,2000,129.1,120.3,144.7
Israel,2001,137.5,123.4,120.3
Israel,2002,141.0,126.4,121.6
Israel,2003,139.8,124.3,107.4
Israel,2004,148.0,128.8,74.8
Israel,2005,147.7,128.9,73.4
Israel,2006,150.2,130.1,70.7
Israel,2007,146.1,127.5,71.5
Israel,2008,147.4,128.2,69.3
Israel,2009,145.8,124.8,71.8
Israel,2010,142.1,123.9,86.6
Israel,2011,142.3,124.5,86.6
Israel,2012,148.7,123.2,87.1
Israel,2013,146.8,126.3,85.5
Israel,2014,150.6,126.8,86.0
Israel,2015,149.0,122.6,84.1
Israel,2016,154.4,124.8,83.8
Israel,2017,157.1,125.6,86.0
Israel,2018,148.8,128.6,116.2
Israel,2019,143.3,127.7,126.3
Israel,2020,146.3,125.6,129.9
Italy,1995,146.8,107.5,83.3
Italy,1996,148.7,110.5,84.4
Italy,1997,149.8,110.1,88.2
Italy,1998,156.9,113.0,89.0
Italy,1999,159.2,114.8,80.5
Italy,2000,153.7,113.9,84.7
Italy,2001,155.2,113.7,87.4
Italy,2002,155.4,113.1,85.8
Italy,2003,152.5,111.7,85.8
Italy,2004,150.1,112.0,87.9
Italy,2005,147.9,111.4,87.4
Italy,2006,156.5,110.9,81.9
Italy,2007,156.4,110.7,81.4
Italy,2008,155.9,110.6,81.4
Italy,2009,152.7,112.0,81.1
Italy,2010,156.5,111.7,82.2
Italy,2011,157.6,110.0,84.4
Italy,2012,157.9,109.1,86.3
Italy,2013,154.8,108.6,87.9
Italy,2014,148.7,105.9,89.6
Italy,2015,146.0,104.6,89.0
Italy,2016,146.6,103.6,89.0
Italy,2017,146.9,104.6,88.8
Italy,2018,145.4,105.2,91.0
Italy,2019,149.9,106.3,91.5
Italy,2020,153.2,105.7,94.8
Japan,1995,85.5,98.0,84.4
Japan,1996,89.8,97.6,84.4
Japan,1997,89.7,95.3,83.0
Japan,1998,88.5,94.3,83.8
Japan,1999,88.7,94.6,82.5
Japan,2000,90.2,96.4,78.4
Japan,2001,89.9,96.7,80.8
Japan,2002,88.6,94.4,81.6
Japan,2003,88.1,94.4,82.5
Japan,2004,90.2,91.8,82.5
Japan,2005,90.6,92.4,78.6
Japan,2006,89.4,90.2,75.6
Japan,2007,89.0,90.7,82.5
Japan,2008,88.8,89.1,77.8
Japan,2009,85.5,87.1,75.6
Japan,2010,86.2,87.2,69.9
Japan,2011,85.7,86.7,76.7
Japan,2012,86.6,87.5,76.4
Japan,2013,86.5,87.3,76.2
Japan,2014,87.1,87.1,75.1
Japan,2015,87.5,86.2,74.2
Japan,2016,86.5,85.7,74.0
Japan,2017,89.4,86.8,71.0
Japan,2018,89.1,87.5,70.7
Japan,2019,91.9,87.9,79.5
Japan,2020,90.7,88.3,76.2
Latvia,1995,100.7,97.1,79.5
Latvia,1996,95.0,86.1,114.5
Latvia,1997,90.4,84.2,100.8
Latvia,1998,89.1,80.4,97.0
