Country,Year,Total fat supply,Total protein supply,Sugar supply
Latvia,1999,89.2,79.7,87.1
Latvia,2000,92.4,77.0,92.9
Latvia,2001,100.9,78.2,116.4
Latvia,2002,109.4,81.3,110.1
Latvia,2003,111.8,85.8,96.4
Latvia,2004,119.5,86.0,100.5
Latvia,2005,118.7,85.8,105.5
Latvia,2006,128.2,90.8,88.2
Latvia,2007,124.2,93.2,80.3
Latvia,2008,120.4,96.0,96.4
Latvia,2009,121.0,96.8,90.7
Latvia,2010,120.0,96.3,134.5
Latvia,2011,119.9,96.5,147.4
Latvia,2012,118.0,92.1,156.2
Latvia,2013,119.5,91.5,163.3
Latvia,2014,122.5,98.7,156.7
Latvia,2015,125.0,94.9,143.3
Latvia,2016,124.0,103.3,133.4
Latvia,2017,127.5,102.4,134.8
Latvia,2018,128.1,96.1,159.2
Latvia,2019,135.3,97.6,150.1
Latvia,2020,141.6,96.7,171.2
Lithuania,1995,61.7,92.5,75.9
Lithuania,1996,69.6,102.4,70.1
Lithuania,1997,75.9,96.9,93.7
Lithuania,1998,75.2,100.8,104.9
Lithuania,1999,79.4,99.7,97.5
Lithuania,2000,75.4,104.8,101.4
Lithuania,2001,84.4,104.3,120.3
Lithuania,2002,90.0,108.2,110.4
Lithuania,2003,93.8,108.0,107.4
Lithuania,2004,94.9,116.8,105.8
Lithuania,2005,100.8,120.0,115.3
Lithuania,2006,101.3,118.9,126.3
Lithuania,2007,103.2,126.2,130.4
Lithuania,2008,102.6,127.1,137.0
Lithuania,2009,99.0,127.0,131.0
Lithuania,2010,97.9,114.4,233.2
Lithuania,2011,98.5,113.4,246.3
Lithuania,2012,92.0,115.5,244.1
Lithuania,2013,92.4,116.8,247.1
Lithuania,2014,95.0,120.4,252.3
Lithuania,2015,97.3,122.2,249.3
Lithuania,2016,97.7,125.2,252.9
Lithuania,2017,101.7,126.9,253.7
Lithuania,2018,104.9,124.7,259.2
Lithuania,2019,121.9,123.4,260.5
Lithuania,2020,125.5,127.2,266.6
Luxembourg,1995,145.0,109.6,294.2
Luxembourg,1996,145.0,109.6,294.2
Luxembourg,1997,145.0,109.6,294.2
Luxembourg,1998,145.0,109.6,294.2
Luxembourg,1999,145.0,109.6,294.2
Luxembourg,2000,144.5,99.2,126.6
Luxembourg,2001,152.7,107.5,123.6
Luxembourg,2002,151.0,106.3,121.6
Luxembourg,2003,152.3,108.1,121.1
Luxembourg,2004,155.7,108.1,121.9
Luxembourg,2005,151.9,110.1,138.9
Luxembourg,2006,146.6,109.8,141.1
Luxembourg,2007,145.1,108.7,142.2
Luxembourg,2008,146.2,108.2,141.4
Luxembourg,2009,143.8,108.1,144.1
Luxembourg,2010,140.3,110.3,453.7
Luxembourg,2011,137.7,114.0,408.5
Luxembourg,2012,140.4,115.7,468.8
Luxembourg,2013,141.9,114.0,463.6
Luxembourg,2014,138.0,111.8,447.9
Luxembourg,2015,139.8,112.2,447.1
Luxembourg,2016,140.1,111.4,443.0
Luxembourg,2017,142.0,109.8,439.7
Luxembourg,2018,143.6,108.9,446.6
Luxembourg,2019,149.3,108.7,426.3
Luxembourg,2020,142.5,110.4,409.6
Mexico,1995,80.5,79.8,129.6
Mexico,1996,82.8,79.7,131.2
Mexico,1997,83.5,81.4,122.7
Mexico,1998,83.4,82.1,126.8
Mexico,1999,81.8,83.7,128.2
Mexico,2000,83.2,86.1,132.1
Mexico,2001,84.9,87.7,136.7
Mexico,2002,87.2,87.9,137.3
Mexico,2003,86.9,87.4,138.1
Mexico,2004,89.4,87.3,136.2
Mexico,2005,90.9,87.1,127.1
Mexico,2006,89.2,88.0,132.6
Mexico,2007,91.1,88.7,132.9
Mexico,2008,91.1,88.2,134.0
Mexico,2009,89.8,86.9,136.4
Mexico,2010,96.2,88.4,142.7
Mexico,2011,96.9,87.4,140.0
Mexico,2012,97.6,87.8,139.7
Mexico,2013,97.5,89.0,135.6
Mexico,2014,97.3,89.7,132.9
Mexico,2015,98.8,89.8,135.3
Mexico,2016,100.2,90.3,137.5
Mexico,2017,101.0,90.5,135.3
Mexico,2018,103.4,91.6,127.1
Mexico,2019,105.6,92.1,120.8
Mexico,2020,103.8,91.2,119.5
Netherlands,1995,145.9,110.2,133.2
Netherlands,1996,148.8,109.3,127.9
Netherlands,1997,146.8,104.4,128.5
Netherlands,1998,156.4,106.7,127.7
Netherlands,1999,148.0,104.9,126.8
Netherlands,2000,146.2,107.3,125.8
Netherlands,2001,143.7,108.8,125.8
Netherlands,2002,144.0,102.0,126.3
Netherlands,2003,130.4,97.7,131.2
Netherlands,2004,133.4,105.1,130.4
Netherlands,2005,140.1,105.1,127.9
Netherlands,2006,132.4,108.6,127.1
Netherlands,2007,131.6,106.0,128.5
Netherlands,2008,132.7,108.0,126.0
Netherlands,2009,127.0,110.7,129.3
Netherlands,2010,125.0,107.9,129.0
Netherlands,2011,122.3,107.0,124.7
Netherlands,2012,124.1,112.1,124.4
Netherlands,2013,125.4,111.9,121.9
Netherlands,2014,126.7,108.5,120.0
Netherlands,2015,128.0,107.6,124.7
Netherlands,2016,130.2,107.6,122.2
Netherlands,2017,126.6,102.4,125.2
Netherlands,2018,139.4,103.9,103.0
Netherlands,2019,134.3,107.3,129.9
Netherlands,2020,140.4,112.6,129.6
New Zealand,1995,123.4,105.9,126.8
New Zealand,1996,122.0,97.7,137.3
New Zealand,1997,121.9,97.5,143.8
New Zealand,1998,113.6,93.9,144.9
New Zealand,1999,113.7,93.2,148.2
New Zealand,2000,114.2,87.9,157.3
New Zealand,2001,112.4,90.3,163.8
New Zealand,2002,115.1,90.7,166.0
New Zealand,2003,114.1,91.8,170.4
New Zealand,2004,117.8,93.4,164.9
New Zealand,2005,118.9,92.2,168.5
New Zealand,2006,118.5,93.9,161.6
New Zealand,2007,121.0,94.4,164.7
New Zealand,2008,120.9,94.1,171.0
New Zealand,2009,116.2,92.0,165.2
New Zealand,2010,116.6,87.6,159.5
New Zealand,2011,132.5,96.3,156.4
New Zealand,2012,119.6,90.8,155.3
New Zealand,2013,124.6,93.3,155.3
New Zealand,2014,114.3,91.7,158.6
New Zealand,2015,113.5,91.5,158.6
New Zealand,2016,114.0,96.0,146.6
New Zealand,2017,113.9,92.2,152.3
New Zealand,2018,118.4,98.3,152.9
New Zealand,2019,117.0,97.4,167.4
New Zealand,2020,122.5,93.4,170.1
Norway,1995,133.0,100.2,121.1
Norway,1996,136.4,104.9,120.0
Norway,1997,135.3,103.7,125.8
Norway,1998,141.7,105.5,124.9
Norway,1999,140.7,105.3,126.8
Norway,2000,139.3,105.1,125.8
Norway,2001,142.1,105.6,122.5
Norway,2002,145.7,105.6,121.4
Norway,2003,145.8,103.7,117.5
Norway,2004,151.3,104.5,111.8
Norway,2005,156.6,105.4,103.6
Norway,2006,149.2,105.0,100.5
Norway,2007,148.3,107.1,102.7
Norway,2008,147.2,109.9,105.2
Norway,2009,147.3,109.7,103.0
Norway,2010,143.9,117.6,127.1
Norway,2011,144.9,116.2,126.3
Norway,2012,143.6,116.4,124.9
Norway,2013,140.7,114.8,124.7
Norway,2014,143.4,111.2,122.7
Norway,2015,142.1,112.5,121.9
Norway,2016,142.0,112.3,118.9
Norway,2017,138.5,113.8,117.8
Norway,2018,137.8,116.1,117.0
Norway,2019,138.2,116.6,122.5
Norway,2020,135.9,118.4,147.7
Poland,1995,111.1,98.4,113.2
Poland,1996,111.7,98.7,117.8
Poland,1997,110.3,97.1,119.2
Poland,1998,113.8,99.3,120.0
Poland,1999,114.3,99.7,118.9
Poland,2000,113.4,99.8,124.7
Poland,2001,114.0,99.6,126.0
Poland,2002,116.3,100.6,125.8
Poland,2003,114.7,101.0,126.0
Poland,2004,113.2,99.1,123.0
Poland,2005,113.3,98.7,119.5
Poland,2006,112.4,98.7,118.6
Poland,2007,111.9,99.6,119.5
Poland,2008,112.2,98.0,115.3
Poland,2009,116.5,100.7,119.2
Poland,2010,121.0,103.4,123.0
Poland,2011,124.1,102.9,124.9
Poland,2012,123.1,101.8,125.5
Poland,2013,118.9,101.1,124.7
Poland,2014,119.2,100.4,122.7
Poland,2015,122.4,100.9,112.1
Poland,2016,123.9,103.9,124.7
Poland,2017,124.1,105.3,126.0
Poland,2018,128.0,105.9,126.8
Poland,2019,129.9,108.1,121.1
Poland,2020,133.2,110.1,129.0
Portugal,1995,123.3,107.6,79.5
Portugal,1996,127.6,109.2,86.6
Portugal,1997,124.0,106.4,85.8
Portugal,1998,125.7,112.9,86.6
Portugal,1999,133.2,114.3,89.6
Portugal,2000,133.8,112.8,89.6
Portugal,2001,133.1,114.5,89.0
Portugal,2002,134.9,112.3,88.2
Portugal,2003,134.2,110.5,89.9
Portugal,2004,132.4,113.1,84.4
Portugal,2005,136.0,113.1,84.1
Portugal,2006,136.5,113.5,81.6
Portugal,2007,139.5,117.3,78.9
Portugal,2008,143.8,114.2,82.7
Portugal,2009,142.3,114.2,79.5
Portugal,2010,138.3,116.3,130.4
Portugal,2011,139.9,113.1,121.1
Portugal,2012,135.5,111.3,118.9
Portugal,2013,134.6,111.1,108.2
Portugal,2014,133.2,111.1,100.8
Portugal,2015,138.1,112.3,104.1
Portugal,2016,134.0,113.1,110.4
Portugal,2017,134.0,114.8,98.6
Portugal,2018,138.0,118.8,104.4
Portugal,2019,146.3,118.6,96.2
Portugal,2020,147.6,117.7,93.2
Slovakia,1995,102.6,74.2,116.7
Slovakia,1996,97.6,78.1,117.0
Slovakia,1997,99.3,77.0,118.4
Slovakia,1998,105.5,78.2,110.7
Slovakia,1999,105.7,75.7,99.2
Slovakia,2000,97.2,71.6,99.7
Slovakia,2001,105.3,71.0,89.6
Slovakia,2002,105.3,73.6,87.4
Slovakia,2003,105.6,73.8,86.0
Slovakia,2004,104.6,71.3,107.9
Slovakia,2005,101.3,74.1,131.0
Slovakia,2006,104.9,73.9,121.1
Slovakia,2007,101.1,71.3,111.2
Slovakia,2008,97.3,73.4,140.0
Slovakia,2009,108.2,72.5,142.5
Slovakia,2010,115.8,72.4,226.0
Slovakia,2011,114.4,72.1,187.1
Slovakia,2012,114.6,67.6,188.8
Slovakia,2013,120.3,70.4,189.6
Slovakia,2014,118.8,71.6,146.6
Slovakia,2015,120.8,68.0,158.6
Slovakia,2016,127.0,70.0,224.9
Slovakia,2017,135.1,68.9,239.2
Slovakia,2018,139.3,68.8,229.9
Slovakia,2019,149.0,71.9,223.8
Slovakia,2020,149.9,72.6,202.2
Slovenia,1995,100.5,95.9,53.4
Slovenia,1996,106.2,100.0,52.6
Slovenia,1997,104.6,98.0,58.4
Slovenia,1998,98.1,96.0,58.6
Slovenia,1999,105.8,103.5,54.8
Slovenia,2000,107.8,102.3,57.8
Slovenia,2001,115.4,100.0,55.1
Slovenia,2002,115.9,98.6,55.1
Slovenia,2003,120.3,100.1,55.6
Slovenia,2004,120.7,99.3,62.2
Slovenia,2005,117.6,98.1,65.2
Slovenia,2006,118.9,98.2,63.0
Slovenia,2007,119.6,98.3,65.8
Slovenia,2008,121.9,101.7,66.0
Slovenia,2009,121.9,101.9,67.1
Slovenia,2010,121.8,100.5,121.1
Slovenia,2011,119.4,98.9,118.1
Slovenia,2012,118.9,98.3,131.8
Slovenia,2013,119.5,96.2,127.7
Slovenia,2014,113.6,98.9,126.8
Slovenia,2015,111.6,97.4,135.3
Slovenia,2016,114.6,98.6,124.9
Slovenia,2017,115.4,97.5,140.3
Slovenia,2018,114.4,95.9,123.3
Slovenia,2019,114.4,98.0,122.5
Slovenia,2020,116.6,99.1,111.5
South Korea,1995,64.3,86.4,86.3
South Korea,1996,68.1,84.8,87.7
South Korea,1997,71.7,84.9,92.6
South Korea,1998,73.6,81.7,80.8
South Korea,1999,75.3,89.5,91.0
South Korea,2000,78.1,87.2,96.4
South Korea,2001,75.9,87.5,100.0
South Korea,2002,78.1,88.9,103.6
South Korea,2003,84.0,89.2,103.0
South Korea,2004,84.8,87.0,102.7
South Korea,2005,85.2,87.6,104.1
South Korea,2006,87.1,90.2,103.6
South Korea,2007,90.4,91.1,100.0
South Korea,2008,92.6,93.1,100.0
South Korea,2009,97.0,91.9,95.1
South Korea,2010,101.0,91.5,112.1
South Korea,2011,98.9,95.6,109.9
South Korea,2012,103.7,94.2,107.4
South Korea,2013,102.7,95.2,108.2
South Korea,2014,109.6,93.7,130.1
South Korea,2015,112.3,93.6,134.0
South Korea,2016,113.3,95.2,132.3
South Korea,2017,116.8,97.6,133.4
South Korea,2018,119.8,98.2,136.7
South Korea,2019,124.7,97.9,138.4
South Korea,2020,126.5,98.1,133.4
Spain,1995,141.0,107.7,80.5
Spain,1996,151.5,109.6,80.5
Spain,1997,146.1,108.6,80.8
Spain,1998,151.1,114.2,81.6
Spain,1999,149.4,112.7,81.4
Spain,2000,155.1,112.3,81.1
Spain,2001,152.6,112.8,81.6
Spain,2002,153.8,115.4,81.4
Spain,2003,149.3,113.8,81.6
Spain,2004,145.4,110.7,81.9
Spain,2005,146.0,108.7,81.9
Spain,2006,144.9,110.2,82.7
Spain,2007,147.3,111.2,81.6
Spain,2008,144.2,108.1,82.7
Spain,2009,144.3,108.0,83.0
Spain,2010,143.6,106.6,83.3
Spain,2011,144.0,105.6,88.2
Spain,2012,143.3,104.5,89.6
Spain,2013,143.3,104.7,88.8
Spain,2014,141.4,104.8,91.2
Spain,2015,147.2,105.4,91.2
Spain,2016,149.9,107.4,91.8
Spain,2017,152.4,107.2,90.4
Spain,2018,152.4,110.0,92.3
Spain,2019,153.4,111.8,89.0
Spain,2020,155.1,111.1,85.5
Sweden,1995,132.9,96.1,117.3
Sweden,1996,123.8,97.3,122.5
Sweden,1997,129.0,99.6,119.7
Sweden,1998,123.8,100.0,126.3
Sweden,1999,124.6,102.3,127.7
Sweden,2000,123.0,101.9,128.8
Sweden,2001,124.6,103.9,122.7
Sweden,2002,125.0,107.7,115.3
Sweden,2003,123.6,108.2,114.8
Sweden,2004,125.2,108.3,113.2
Sweden,2005,124.3,108.0,114.8
Sweden,2006,122.0,107.7,112.9
Sweden,2007,121.9,107.1,114.0
Sweden,2008,125.6,108.9,111.5
Sweden,2009,127.3,107.7,111.0
Sweden,2010,129.8,108.5,137.0
Sweden,2011,132.3,107.8,143.3
Sweden,2012,134.4,105.9,144.9
Sweden,2013,130.5,108.8,148.8
Sweden,2014,135.0,108.1,138.6
Sweden,2015,136.5,107.9,131.5
Sweden,2016,138.0,106.7,131.8
Sweden,2017,135.0,106.9,131.8
Sweden,2018,132.8,105.2,134.5
Sweden,2019,131.8,110.8,127.4
Sweden,2020,134.2,109.8,104.1
Switzerland,1995,148.5,94.4,133.4
Switzerland,1996,148.3,93.5,143.6
Switzerland,1997,146.0,93.4,141.1
Switzerland,1998,149.4,95.1,132.6
Switzerland,1999,147.6,92.8,138.1
Switzerland,2000,149.9,95.9,149.3
Switzerland,2001,150.6,94.7,147.4
Switzerland,2002,154.2,93.8,156.7
Switzerland,2003,154.0,93.7,155.9
Switzerland,2004,152.9,92.8,162.7
Switzerland,2005,153.8,91.9,161.4
Switzerland,2006,158.0,92.2,164.4
Switzerland,2007,155.7,94.0,161.6
Switzerland,2008,158.7,93.4,162.7
Switzerland,2009,156.7,94.6,159.2
Switzerland,2010,156.9,94.7,160.5
Switzerland,2011,158.5,95.5,158.9
Switzerland,2012,151.3,92.0,164.7
Switzerland,2013,153.5,93.0,164.9
Switzerland,2014,156.9,97.0,142.5
Switzerland,2015,159.1,97.3,132.3
Switzerland,2016,155.2,96.7,130.7
Switzerland,2017,154.8,96.9,134.2
Switzerland,2018,157.9,97.4,124.1
Switzerland,2019,158.2,96.5,126.3
Switzerland,2020,160.2,98.0,128.2
Turkey,1995,96.2,109.3,83.8
Turkey,1996,99.2,105.9,86.6
Turkey,1997,98.3,102.2,92.9
Turkey,1998,95.2,105.9,92.3
Turkey,1999,93.9,105.7,81.1
Turkey,2000,100.1,105.3,84.1
Turkey,2001,95.2,103.2,84.9
Turkey,2002,97.3,103.4,76.2
Turkey,2003,99.0,102.7,72.3
Turkey,2004,104.8,103.0,77.8
Turkey,2005,105.0,103.3,80.3
Turkey,2006,108.2,103.0,87.9
Turkey,2007,113.5,102.7,78.1
Turkey,2008,110.3,100.5,84.1
Turkey,2009,112.5,100.7,88.5
Turkey,2010,111.3,104.3,100.3
Turkey,2011,114.6,105.3,89.9
Turkey,2012,119.9,107.2,94.0
Turkey,2013,120.4,107.1,94.5
Turkey,2014,117.6,107.5,86.6
Turkey,2015,121.3,110.3,87.1
Turkey,2016,119.6,108.7,87.1
Turkey,2017,123.1,110.6,87.7
Turkey,2018,125.6,110.8,87.1
Turkey,2019,126.7,110.5,87.1
Turkey,2020,125.4,112.7,86.6
United Kingdom,1995,137.2,92.8,103.8
United Kingdom,1996,140.4,94.9,108.2
United Kingdom,1997,140.9,97.4,107.7
United Kingdom,1998,141.5,98.7,103.3
United Kingdom,1999,142.5,99.2,109.3
United Kingdom,2000,140.8,98.8,102.5
United Kingdom,2001,141.8,100.7,110.7
United Kingdom,2002,135.4,101.9,112.6
United Kingdom,2003,133.4,103.1,110.7
United Kingdom,2004,137.6,103.2,113.7
United Kingdom,2005,139.4,103.6,103.0
United Kingdom,2006,147.2,104.1,90.4
United Kingdom,2007,140.8,104.5,98.9
United Kingdom,2008,140.1,102.9,100.0
United Kingdom,2009,139.7,102.1,106.3
United Kingdom,2010,143.2,102.6,106.8
United Kingdom,2011,139.0,103.5,111.5
United Kingdom,2012,139.5,104.1,112.6
United Kingdom,2013,139.4,103.9,122.5
United Kingdom,2014,138.8,101.7,106.8
United Kingdom,2015,139.6,104.0,102.7
United Kingdom,2016,137.9,105.3,101.4
United Kingdom,2017,139.8,105.0,103.6
United Kingdom,2018,139.0,104.9,104.1
United Kingdom,2019,144.9,102.7,108.8
United Kingdom,2020,145.2,105.4,97.0
United States of America,1995,140.3,111.7,182.5
United States of America,1996,137.4,111.7,186.0
United States of America,1997,139.7,112.3,192.6
United States of America,1998,142.8,112.9,194.5
United States of America,1999,146.5,114.8,187.9
United States of America,2000,154.4,114.3,189.3
United States of America,2001,154.8,112.8,186.3
United States of America,2002,159.9,114.4,193.4
United States of America,2003,158.6,114.6,191.8
United States of America,2004,161.7,115.5,194.2
United States of America,2005,165.0,115.1,192.9
United States of America,2006,162.5,114.6,187.4
United States of America,2007,163.2,114.9,174.8
United States of America,2008,161.4,112.9,169.6
United States of America,2009,159.3,110.9,164.9
United States of America,2010,159.9,110.6,170.4
United States of America,2011,161.7,108.7,175.1
United States of America,2012,162.2,109.7,179.7
United States of America,2013,161.5,109.6,180.3
United States of America,2014,163.2,110.7,181.6
United States of America,2015,164.9,111.4,181.6
United States of America,2016,166.5,112.5,181.6
United States of America,2017,168.0,113.3,180.5
United States of America,2018,178.6,115.2,176.7
United States of America,2019,182.8,116.5,181.9
United States of America,2020,183.9,118.8,178.4
Average OECD,1995,119.2,98.3,120.2
Average OECD,1996,120.2,98.2,122.3
Average OECD,1997,120.7,97.6,124.3
Average OECD,1998,122.1,98.7,123.8
Average OECD,1999,122.5,99.3,123.3
Average OECD,2000,122.8,99.2,120.4
Average OECD,2001,124.1,99.9,120.9
Average OECD,2002,125.6,100.5,119.9
Average OECD,2003,125.2,100.3,120.0
Average OECD,2004,126.5,100.4,120.5
Average OECD,2005,127.3,101.0,119.1
Average OECD,2006,128.5,101.6,116.3
Average OECD,2007,128.8,102.3,117.0
Average OECD,2008,129.0,102.0,117.4
Average OECD,2009,128.5,101.3,117.1
Average OECD,2010,129.1,101.5,153.6
Average OECD,2011,130.1,101.3,155.2
Average OECD,2012,129.6,100.8,158.5
Average OECD,2013,129.7,101.4,157.6
Average OECD,2014,130.5,101.6,144.7
Average OECD,2015,132.3,102.0,143.3
Average OECD,2016,133.1,103.2,144.3
Average OECD,2017,134.9,103.4,146.7
Average OECD,2018,136.7,104.4,145.7
Average OECD,2019,140.4,105.2,143.8
Average OECD,2020,141.9,105.2,145.1
